cinema_name,pos_x,pos_y
롯데시네마 수유,37.63569202,127.0209271
CGV Salon 서초,37.48908749,127.0232876
CGV 건대입구,37.53978778,127.0640443
CGV 대학로,37.58346399,126.9969561
CGV 동대문,37.56864345,127.0048423
CGV 등촌,37.55786755,126.8531562
CGV 명동,37.56341328,126.9800005
CGV 명동,37.56132833,126.9824628
CGV 방학,37.66533783,127.0407755
CGV 성신여대입구,37.5926051,127.0142865
CGV 송파,37.47764866,127.1221062
CGV 수유,37.64239106,127.0269623
CGV 영등포,37.51707544,126.9004509
CGV 왕십리,37.56128897,127.0354918
CGV 중계,37.6399186,127.0657183
CGV 천호,37.54571781,127.1393607
CGV 청담씨네시티,37.52289525,127.034159
CGV 하계,37.63882672,127.0618644
CGV강변,37.5356997,127.0928748
CGV구로,37.50117651,126.8799492
CGV불광제,37.60972137,126.9261136
CGV상봉,37.59744042,127.0893513
CGV신촌아트레온,37.55656199,126.9373424
CGV압구정,37.52458295,127.0259376
CGV압구정 ART,37.52434258,127.0265211
CGV여의도,37.52497858,126.9224083
CGV연남,37.55767118,126.9230142
CGV피카디리1958,37.57103628,126.9883389
CGV홍대,37.55642632,126.9198684
CINE Q 신도림점,37.50697388,126.8874291
KT&G 상상마당 cinema,37.55100139,126.9181436
KU시네마테크,37.54254117,127.0708351
대한극장,37.56131951,126.9926111
더숲 아트시네마,37.65415995,127.0585495
라이카시네마,37.56516519,126.9280437
롯데시네마,37.53662043,127.1224473
롯데시네마 가산디지털,37.47758212,126.8861944
롯데시네마 가양,37.56161087,126.8503773
롯데시네마 건대입구,37.53780314,127.069742
롯데시네마 김포공항,37.56505958,126.8001018
롯데시네마 노원,37.65514413,127.0581884
롯데시네마 노원수락산역,37.67655836,127.0527609
롯데시네마 브로드웨이,37.51653907,127.0186689
롯데시네마 브로드웨이,37.51644642,127.0190481
롯데시네마 서울대입구,37.48102571,126.9493173
롯데시네마 신대방,37.48631669,126.9023396
롯데시네마 신림,37.48383564,126.9272835
롯데시네마 에비뉴엘5 샤롯데,37.56410008,126.9790352
롯데시네마 영등포,37.51592321,126.9044825
롯데시네마 용산,37.53281447,126.9568375
롯데시네마 월드타워,37.51310116,127.1005432
롯데시네마 은평,37.63748268,126.9151331
롯데시네마 중랑관,37.61514308,127.0731183
롯데시네마 합정,37.55093476,126.9108923
롯데시네마 홍대입구관,37.5573296,126.9224181
롯데시네마독산,37.4694074,126.8945626
롯데시네마청량리,37.5809773,127.0441024
메가박스 강동,37.52853076,127.1222583
메가박스 군자,37.55578985,127.0754482
메가박스 송파파크하비오점,37.48060473,127.1207762
메가박스 씨티(강남대로),37.50037516,127.0240257
메가박스 씨티(강남대로),37.50032541,127.02433
메가박스 창동,37.65459939,127.0358813
메가박스(주) 이수지점,37.48476097,126.9786305
메가박스중앙(주) 강남,37.49794407,127.0236472
메가박스중앙(주) 동대문점,37.56687322,127.0043909
메가박스중앙(주) 마곡지점,37.55930269,126.8323329
메가박스중앙(주) 목동지점,37.52937343,126.8731937
메가박스중앙(주) 상봉지점,37.59323275,127.0717913
메가박스중앙(주) 상암월드컵경기장지점,37.569194,126.898372
메가박스중앙(주) 성수지점,37.54186995,127.0420653
메가박스중앙(주) 센트럴,37.50436408,127.0007309
메가박스중앙(주) 홍대지점,37.55606656,126.9192033
메가박스중앙(주) 화곡지점,37.54058793,126.8346786
메가박스중앙(주)더부티크목동현대백화점,37.52685434,126.8721447
메가박스중앙(주)신촌지점,37.5597947,126.9390274
씨네큐브광화문,37.56972832,126.9693979
CGV 미아점,37.61205659,127.0278253
CGV 용산아이파크몰,37.53160632,126.9624227
아리랑시네센터(아리랑인디웨이브),37.59991843,127.0110123
아트하우스 모모-이화·KB 시네마,37.56256104,126.9445633
에무 시네마,37.57208013,126.966132
필름포럼,37.56412846,126.9416266
