호선명,지하철역명,pos_x,pos_y,월세 단위면적 환산액(만원),전세 단위면적 환산액(만원)
1호선,가산디지털단지,37.481072,126.882343,4,8
1호선,광운대,37.623632,127.061835,3,5
1호선,구로,37.503039,126.881966,3,4
1호선,남영,37.541021,126.9713,5,10
1호선,노량진,37.514219,126.942454,5,5
1호선,녹천,37.644799,127.051269,2,4
1호선,대방,37.513342,126.926382,4,9
1호선,도봉,37.679563,127.045595,2,4
1호선,도봉산,37.689313,127.046222,1,2
1호선,동대문,37.57142,127.009745,2,3
1호선,동묘앞,37.572627,127.016429,3,8
1호선,방학,37.667503,127.044273,3,5
1호선,서울,37.554648,126.972559,3,5
1호선,석계,37.614805,127.065851,3,5
1호선,시청,37.564718,126.977108,9,10
1호선,신길,37.517122,126.917169,5,9
1호선,신도림,37.508725,126.891295,4,5
1호선,신설동,37.575297,127.025087,4,8
1호선,신이문,37.601854,127.067325,2,6
1호선,영등포,37.515504,126.907628,4,8
1호선,외대앞,37.596073,127.063549,4,9
1호선,용산,37.529849,126.964561,4,4
1호선,월계,37.633212,127.058831,2,4
1호선,제기동,37.578103,127.034893,3,6
1호선,종각,37.570161,126.982923,3,8
1호선,종로3가,37.571607,126.991806,5,4
1호선,종로5가,37.570926,127.001849,4,10
1호선,창동,37.653166,127.047731,2,4
1호선,청량리,37.580178,127.046835,3,5
1호선,회기,37.58946,127.057583,4,7
2호선,강남,37.497175,127.027926,5,10
2호선,강변,37.535095,127.094681,4,9
2호선,건대입구,37.540693,127.07023,4,7
2호선,교대,37.493415,127.01408,5,8
2호선,구로디지털단지,37.485266,126.901401,3,6
2호선,구의,37.537077,127.085916,4,6
2호선,낙성대,37.47693,126.963693,3,5
2호선,당산,37.53438,126.902281,4,8
2호선,대림,37.49297,126.895801,3,6
2호선,동대문역사문화공원,37.565138,127.007896,4,9
2호선,뚝섬,37.547184,127.047367,4,6
2호선,문래,37.517933,126.89476,3,5
2호선,방배,37.481426,126.997596,3,6
2호선,봉천,37.482362,126.941892,4,9
2호선,사당,37.47653,126.981685,4,7
2호선,삼성,37.508844,127.06316,5,6
2호선,상왕십리,37.564354,127.029354,4,6
2호선,서울대입구,37.481247,126.952739,5,7
2호선,서초,37.491897,127.007917,6,7
2호선,선릉,37.504503,127.049008,4,6
2호선,성수,37.544581,127.055961,3,6
2호선,시청,37.564718,126.977108,9,10
2호선,신당,37.565972,127.01782,4,7
2호선,신대방,37.487462,126.913149,4,7
2호선,신도림,37.508725,126.891295,4,5
2호선,신림,37.484201,126.929715,4,8
2호선,신촌,37.555134,126.936893,5,8
2호선,아현,37.557345,126.956141,4,4
2호선,역삼,37.500622,127.036456,5,9
2호선,영등포구청,37.52497,126.895951,5,6
2호선,왕십리,37.561533,127.037732,4,8
2호선,을지로3가,37.566295,126.99191,5,9
2호선,을지로4가,37.566941,126.998079,4,6
2호선,을지로입구,37.566014,126.982618,6,9
2호선,이대,37.556733,126.946013,5,9
2호선,잠실,37.51395,127.102234,5,10
