,station_name,station_line,direct,startTime,endTime
0,서울,1호선,하선,20.8,51.1
2,시청,1호선,하선,19.85,47.25
4,종각,1호선,하선,26.68,37.3
6,종로3가,1호선,하선,37.57,28.07
8,종로5가,1호선,하선,41.62,26.92
10,동대문,1호선,하선,45.5,20.85
12,신설동,1호선,하선,43.42,17.93
14,제기동,1호선,하선,41.53,15.12
16,청량리,1호선,하선,40.93,13.35
18,동묘앞,1호선,하선,46.27,19.43
20,시청,2호선,외선,23.25,55.75
22,을지로입구,2호선,외선,28.4,49.22
24,을지로3가,2호선,외선,40.28,39.72
26,을지로4가,2호선,외선,43.83,35.13
28,동대문역사문화공원,2호선,외선,47.68,33.18
30,신당,2호선,외선,47.32,41.93
32,상왕십리,2호선,외선,45.47,44.25
34,왕십리,2호선,외선,42.72,44.72
36,한양대,2호선,외선,27.8,36.93
38,뚝섬,2호선,외선,27.82,35.17
40,성수,2호선,외선,31.35,30.72
42,건대입구,2호선,외선,41.55,28.67
44,구의,2호선,외선,33.0,36.43
46,강변,2호선,외선,27.98,38.32
48,잠실나루,2호선,외선,24.52,41.27
50,잠실,2호선,외선,23.8,40.97
52,신천,2호선,외선,24.08,55.15
54,종합운동장,2호선,외선,20.27,58.08
56,삼성,2호선,외선,19.98,60.05
58,선릉,2호선,외선,39.32,52.15
60,역삼,2호선,외선,59.72,56.63
62,강남,2호선,외선,81.23,47.75
64,교대,2호선,외선,98.38,45.92
66,서초,2호선,외선,104.87,40.75
68,방배,2호선,외선,110.9,36.48
70,사당,2호선,외선,113.08,35.42
72,낙성대,2호선,외선,101.62,34.97
74,서울대입구,2호선,외선,92.63,35.0
76,봉천,2호선,외선,81.5,34.52
78,신림,2호선,외선,74.75,36.05
80,신대방,2호선,외선,56.85,41.75
82,구로디지털단지,2호선,외선,52.07,46.92
84,대림,2호선,외선,57.33,48.83
86,신도림,2호선,외선,48.02,47.22
88,문래,2호선,외선,41.95,60.95
90,영등포구청,2호선,외선,43.87,58.77
92,당산,2호선,외선,39.87,55.2
94,합정,2호선,외선,39.0,56.23
96,홍대입구,2호선,외선,24.6,50.55
98,신촌(지하),2호선,외선,19.53,54.4
100,이대,2호선,외선,21.15,53.92
102,아현,2호선,외선,21.48,54.75
104,충정로,2호선,외선,20.82,55.42
106,오금,3호선,하선,5.85,16.07
108,경찰병원,3호선,하선,4.82,14.72
110,가락시장,3호선,하선,7.13,17.38
112,수서,3호선,하선,9.73,20.48
114,일원,3호선,하선,10.52,21.0
116,대청,3호선,하선,12.87,22.07
