,station_name,station_line,direct,startTime,endTime
1,서울,1호선,상선,45.5,22.57
3,시청,1호선,상선,35.15,27.3
5,종각,1호선,상선,21.77,33.12
7,종로3가,1호선,상선,22.02,36.55
9,종로5가,1호선,상선,16.12,38.82
11,동대문,1호선,상선,14.98,39.83
13,신설동,1호선,상선,11.87,37.75
15,제기동,1호선,상선,9.75,37.22
17,청량리,1호선,상선,7.6,32.52
19,동묘앞,1호선,상선,13.25,36.9
21,시청,2호선,내선,51.43,33.02
23,을지로입구,2호선,내선,36.37,42.85
25,을지로3가,2호선,내선,32.57,43.68
27,을지로4가,2호선,내선,30.53,48.1
29,동대문역사문화공원,2호선,내선,41.72,49.88
31,신당,2호선,내선,44.68,48.6
33,상왕십리,2호선,내선,45.98,47.17
35,왕십리,2호선,내선,39.6,32.42
37,한양대,2호선,내선,36.88,33.02
39,뚝섬,2호선,내선,30.82,36.05
41,성수,2호선,내선,23.13,39.7
43,건대입구,2호선,내선,33.32,32.7
45,구의,2호선,내선,36.75,29.37
47,강변,2호선,내선,42.95,27.73
49,잠실나루,2호선,내선,43.25,27.42
51,잠실,2호선,내선,60.05,30.45
53,신천,2호선,내선,63.27,27.67
55,종합운동장,2호선,내선,65.23,27.38
57,삼성,2호선,내선,53.55,45.55
59,선릉,2호선,내선,55.78,67.57
61,역삼,2호선,내선,41.7,85.77
63,강남,2호선,내선,32.43,94.97
65,교대,2호선,내선,30.5,97.23
67,서초,2호선,내선,25.35,100.78
69,방배,2호선,내선,24.63,102.62
71,사당,2호선,내선,26.13,92.25
73,낙성대,2호선,내선,27.58,86.18
75,서울대입구,2호선,내선,28.48,76.2
77,봉천,2호선,내선,32.07,71.35
79,신림,2호선,내선,40.38,57.93
81,신대방,2호선,내선,45.97,55.77
83,구로디지털단지,2호선,내선,48.72,63.35
85,대림,2호선,내선,53.62,59.37
87,신도림,2호선,내선,68.85,40.33
89,문래,2호선,내선,65.28,43.28
91,영등포구청,2호선,내선,62.25,41.82
93,당산,2호선,내선,62.67,42.17
95,합정,2호선,내선,55.62,30.5
97,홍대입구,2호선,내선,57.4,26.53
99,신촌(지하),2호선,내선,56.42,26.3
101,이대,2호선,내선,56.52,27.03
103,아현,2호선,내선,58.53,26.9
105,충정로,2호선,내선,57.58,28.63
107,오금,3호선,상선,16.07,5.85
109,경찰병원,3호선,상선,18.72,7.93
111,가락시장,3호선,상선,26.5,13.07
113,수서,3호선,상선,23.93,11.92
115,일원,3호선,상선,25.1,14.42
117,대청,3호선,상선,28.08,16.9
119,학여울,3호선,상선,27.88,17.45
121,대치,3호선,상선,30.03,19.67
123,도곡,3호선,상선,32.18,22.78
125,매봉,3호선,상선,32.25,27.28
127,양재,3호선,상선,38.88,55.3
129,남부터미널,3호선,상선,38.57,66.53
131,교대,3호선,상선,42.78,84.03
133,고속터미널,3호선,상선,41.85,65.33
135,잠원,3호선,상선,41.92,64.75
137,신사,3호선,상선,31.72,69.82
139,압구정,3호선,상선,25.83,76.57
141,옥수,3호선,상선,26.53,69.25
143,금호,3호선,상선,28.23,67.5
145,약수,3호선,상선,28.15,56.28
147,동대입구,3호선,상선,26.93,59.12
149,충무로,3호선,상선,26.57,52.42
151,을지로3가,3호선,상선,23.75,61.78
153,종로3가,3호선,상선,28.03,75.83
155,안국,3호선,상선,18.97,79.92
157,경복궁,3호선,상선,12.08,81.6
159,독립문,3호선,상선,11.53,79.5
161,무악재,3호선,상선,11.8,77.98
163,홍제,3호선,상선,11.48,73.2
165,녹번,3호선,상선,11.8,64.2
167,불광,3호선,상선,12.77,63.15
169,연신내,3호선,상선,12.45,47.23
171,구파발,3호선,상선,10.43,39.75
173,지축,3호선,상선,16.0,62.75
174,당고개,4호선,상선,2,4
176,상계,4호선,상선,1.68,5.73
178,노원,4호선,상선,3.77,14.42
180,창동,4호선,상선,8.95,26.98
182,쌍문,4호선,상선,12.07,42.92
184,수유,4호선,상선,11.53,53.63
186,미아,4호선,상선,11.6,63.3
188,미아삼거리,4호선,상선,13.15,68.52
190,길음,4호선,상선,13.68,78.47
192,성신여대입구,4호선,상선,14.28,86.13
194,한성대입구,4호선,상선,15.67,92.75
196,혜화,4호선,상선,17.65,95.13
198,동대문,4호선,상선,24.9,96.55
200,동대문역사문화공원,4호선,상선,27.52,92.82
202,충무로,4호선,상선,23.1,68.88
204,명동,4호선,상선,26.02,55.22
206,회현,4호선,상선,30.2,49.25
208,서울역,4호선,상선,34.62,41.62
210,숙대입구,4호선,상선,32.95,30.92
212,삼각지,4호선,상선,33.68,29.77
214,신용산,4호선,상선,35.43,32.93
216,이촌,4호선,상선,39.37,29.37
218,동작,4호선,상선,40.27,32.22
220,총신대입구,4호선,상선,44.8,31.92
222,사당,4호선,상선,46.67,32.87
224,남태령,4호선,상선,83.18,55.42
226,방화,5호선,상선,2,4
228,개화산,5호선,상선,1.97,3.87
230,김포공항,5호선,상선,3.63,6.82
232,송정,5호선,상선,9.47,14.23
234,마곡,5호선,상선,10.57,16.37
236,발산,5호선,상선,14.85,18.48
238,우장산,5호선,상선,25.1,22.08
240,화곡,5호선,상선,26.78,28.3
242,까치산,5호선,상선,25.67,42.92
244,신정,5호선,상선,17.13,48.72
246,목동,5호선,상선,15.72,54.07
248,오목교,5호선,상선,16.25,64.03
250,양평,5호선,상선,20.5,71.22
252,영등포구청,5호선,상선,21.75,72.3
254,영등포시장,5호선,상선,14.95,56.17
256,신길,5호선,상선,15.88,56.45
258,여의도,5호선,상선,16.57,64.82
260,여의나루,5호선,상선,33.65,51.08
262,마포,5호선,상선,37.63,49.17
264,공덕,5호선,상선,38.82,47.67
266,애오개,5호선,상선,32.35,48.4
268,충정로,5호선,상선,31.5,47.85
270,서대문,5호선,상선,31.13,45.42
272,광화문,5호선,상선,37.93,38.57
274,종로3가,5호선,상선,50.35,27.62
276,을지로4가,5호선,상선,50.12,22.47
278,동대문역사문화공원,5호선,상선,50.68,19.12
280,청구,5호선,상선,50.3,19.37
282,신금호,5호선,상선,52.78,21.77
284,행당,5호선,상선,50.55,22.55
286,왕십리,5호선,상선,47.55,23.23
288,마장,5호선,상선,64.2,26.88
290,답십리,5호선,상선,62.97,26.87
292,장한평,5호선,상선,58.15,27.02
294,군자,5호선,상선,56.42,28.03
296,아차산,5호선,상선,63.18,40.5
298,광나루,5호선,상선,58.28,40.03
300,천호,5호선,상선,55.95,40.03
302,강동,5호선,상선,57.77,31.45
304,길동,5호선,상선,88.47,36.03
306,굽은다리,5호선,상선,83.55,33.78
308,명일,5호선,상선,74.97,31.65
310,고덕,5호선,상선,64.63,29.02
312,상일동,5호선,상선,59.0,24.62
314,둔촌동,15호선,상선,42.65,50.52
316,올림픽공원(한국체대),15호선,상선,39.0,49.65
318,방이,15호선,상선,41.02,41.12
320,오금,15호선,상선,37.05,38.68
322,개롱,15호선,상선,40.98,18.42
324,거여,15호선,상선,30.92,11.73
326,마천,15호선,상선,13.88,4.02
328,강일,5호선,상선,56.47,22.07
330,미사,5호선,상선,48.35,20.23
332,하남풍산,5호선,상선,21.02,12.95
334,하남시청,5호선,상선,17.07,8.38
336,하남검단산,5호선,상선,8.1,3.87
338,응암,6호선,상선,14.27,25.9
340,역촌,6호선,상선,23.18,16.33
342,불광,6호선,상선,15.1,6.75
344,독바위,6호선,상선,13.18,8.82
346,연신내,6호선,상선,17.43,21.18
348,구산,6호선,상선,15.15,26.12
350,새절,6호선,상선,11.2,36.85
352,증산,6호선,상선,10.75,46.87
354,디지털미디어시티,6호선,상선,10.72,54.1
356,월드컵경기장,6호선,상선,14.32,50.9
358,마포구청,6호선,상선,14.48,51.03
360,망원,6호선,상선,16.23,57.12
362,합정,6호선,상선,17.87,61.67
364,상수,6호선,상선,12.18,35.23
366,광흥창,6호선,상선,13.17,36.25
368,대흥,6호선,상선,13.02,35.02
370,공덕,6호선,상선,14.47,35.93
372,효창공원앞,6호선,상선,24.8,35.63
374,삼각지,6호선,상선,25.68,35.03
376,녹사평,6호선,상선,23.03,26.78
378,이태원,6호선,상선,23.3,25.82
380,한강진,6호선,상선,24.28,25.37
382,버티고개,6호선,상선,27.28,23.23
384,약수,6호선,상선,26.72,23.37
386,청구,6호선,상선,40.1,21.72
388,신당,6호선,상선,41.8,20.92
390,동묘앞,6호선,상선,53.27,23.6
392,창신,6호선,상선,58.17,22.9
394,보문,6호선,상선,55.87,22.43
396,안암,6호선,상선,50.23,21.6
398,고려대,6호선,상선,51.77,16.15
400,월곡,6호선,상선,48.63,14.13
402,상월곡,6호선,상선,43.6,12.55
404,돌곶이,6호선,상선,39.87,12.08
406,석계,6호선,상선,34.97,11.97
408,태릉입구,6호선,상선,32.57,14.03
410,화랑대,6호선,상선,21.28,6.95
412,봉화산,6호선,상선,10.55,3.93
414,신내,6호선,상선,7.88,4.83
416,장암,7호선,상선,1,2
418,도봉산,7호선,상선,0.28,0.52
420,수락산,7호선,상선,6.02,14.52
422,마들,7호선,상선,7.88,21.18
424,노원,7호선,상선,9.1,29.02
426,중계,7호선,상선,15.52,38.0
428,하계,7호선,상선,16.6,43.83
430,공릉,7호선,상선,17.32,51.07
432,태릉입구,7호선,상선,18.47,54.67
434,먹골,7호선,상선,19.1,54.75
436,중화,7호선,상선,18.4,58.48
438,상봉,7호선,상선,18.7,61.98
440,면목,7호선,상선,18.32,72.77
442,사가정,7호선,상선,18.27,78.07
444,용마산,7호선,상선,17.72,83.78
446,중곡,7호선,상선,17.85,87.32
448,군자,7호선,상선,18.95,89.82
450,어린이대공원,7호선,상선,17.9,90.37
452,건대입구,7호선,상선,18.72,89.95
454,뚝섬유원지,7호선,상선,20.67,75.32
456,청담,7호선,상선,19.65,75.95
458,강남구청,7호선,상선,25.03,67.4
460,학동,7호선,상선,34.82,56.0
462,논현,7호선,상선,46.27,45.22
464,반포,7호선,상선,53.33,38.77
466,고속터미널,7호선,상선,53.73,37.45
468,내방,7호선,상선,72.05,33.12
470,총신대입구,7호선,상선,74.95,30.4
472,남성,7호선,상선,69.12,27.08
474,숭실대입구,7호선,상선,63.73,26.73
476,상도,7호선,상선,59.18,25.9
478,장승배기,7호선,상선,55.12,25.83
480,신대방삼거리,7호선,상선,52.97,26.42
482,보라매,7호선,상선,46.55,27.12
484,신풍,7호선,상선,45.77,26.62
486,대림,7호선,상선,42.78,28.02
488,남구로,7호선,상선,54.7,34.68
490,가산디지털단지,7호선,상선,61.32,33.9
492,철산,7호선,상선,86.97,20.02
494,광명사거리,7호선,상선,77.53,18.93
496,천왕,7호선,상선,66.53,17.25
498,온수,7호선,상선,58.15,16.18
500,까치울,7호선,상선,71.45,39.45
502,부천종합운동장,7호선,상선,64.52,39.85
504,춘의,7호선,상선,62.38,40.08
506,신중동,7호선,상선,63.55,32.9
508,부천시청,7호선,상선,58.63,30.42
510,상동,7호선,상선,52.25,28.8
512,삼산체육관,7호선,상선,48.05,28.12
514,굴포천,7호선,상선,43.7,27.7
516,부평구청,7호선,상선,37.02,28.5
519,모란,8호선,상선,4.82,9.6
521,수진,8호선,상선,8.07,9.45
523,신흥,8호선,상선,11.02,9.75
525,단대오거리,8호선,상선,19.7,12.62
527,남한산성입구,8호선,상선,33.47,15.08
529,산성,8호선,상선,41.22,15.98
533,복정,8호선,상선,63.18,37.75
535,장지,8호선,상선,73.57,46.65
537,문정,8호선,상선,68.93,72.78
539,가락시장,8호선,상선,65.77,80.37
541,송파,8호선,상선,70.6,81.93
543,석촌,8호선,상선,60.55,76.78
545,잠실,8호선,상선,25.37,81.42
547,몽촌토성,8호선,상선,22.42,79.83
549,강동구청,8호선,상선,20.4,74.08
